date_start,data_end,name,ticker,retorno,ret
7/1/2020,7/31/2020,SUZANO PAPEL PNA ,SUZB3<XBSP>,14.16145692,0.141614569
7/1/2020,7/31/2020,B3 ON ,B3SA3<XBSP>,15.46469351,0.154646935
7/1/2020,7/31/2020,IOCHPE-MAXION ON ,MYPK3<XBSP>,-4.955621302,-0.049556213
7/1/2020,7/31/2020,AES TIETÊ UNIT ,AESB3<XBSP>,-3.377947738,-0.033779477
7/1/2020,7/31/2020,SER EDUCACIONAL ON ,SEER3<XBSP>,4.2,0.042
7/1/2020,7/31/2020,CVC BRASIL ON ,CVCB3<XBSP>,21.86347041,0.218634704
7/1/2020,7/31/2020,USIMINAS PNA ,USIM5<XBSP>,11.82943604,0.11829436
7/1/2020,7/31/2020,RUMO ON ,RAIL3<XBSP>,-1.20053357,-0.012005336
7/1/2020,7/31/2020,CARREFOUR BR ON ,CRFB3<XBSP>,13.62025316,0.136202532
7/1/2020,7/31/2020,VIA VAREJO UNIT ,VVAR11<XBSP>,,
7/1/2020,7/31/2020,TENDA ON ,TEND3<XBSP>,8.307789465,0.083077895
7/1/2020,7/31/2020,BRASKEM PNA ,BRKM5<XBSP>,-1.80878553,-0.018087855
7/1/2020,7/31/2020,ITAU UNIBANCO PN ,ITUB4<XBSP>,5.720463928,0.057204639
7/1/2020,7/31/2020,SMILES ON ,SMLS3<XBSP>,3.806934058,0.038069341
7/1/2020,7/31/2020,BRF S.A. ON ,BRFS3<XBSP>,-2.634054563,-0.026340546
7/1/2020,7/31/2020,BRASIL ON ,BBAS3<XBSP>,4.447900466,0.044479005
7/1/2020,7/31/2020,VIAVAREJO UNT ,VVAR11<XBSP>,,
7/1/2020,7/31/2020,SID NACIONAL ON ,CSNA3<XBSP>,14.70037453,0.147003745
7/1/2020,7/31/2020,MAGAZINE LUIZA ON ,MGLU3<XBSP>,12.77229917,0.127722992
7/1/2020,7/31/2020,SUZANO PAPEL ON ,SUZB3<XBSP>,14.16145692,0.141614569
7/1/2020,7/31/2020,CCR SA ON ,CCRO3<XBSP>,3.172413793,0.031724138
7/1/2020,7/31/2020,KLABIN S/A UNT ,KLBN11<XBSP>,1.623216921,0.016232169
7/1/2020,7/31/2020,IRB BRASIL RESSEGUROS ON ,IRBR3<XBSP>,-21.59571246,-0.215957125
7/1/2020,7/31/2020,RAIADROGASIL ON ,RADL3<XBSP>,12.18586151,0.121858615
7/1/2020,7/31/2020,P.ACUCAR - CBD PN ,PCAR4<XBSP>,,
7/1/2020,7/31/2020,NATURA ON ,NTCO3<XBSP>,17.89473684,0.178947368
7/1/2020,7/31/2020,BBSEGURIDADE ON ,BBSE3<XBSP>,2.053538687,0.020535387
7/1/2020,7/31/2020,CYRELA REALT ON ,CYRE3<XBSP>,21.18104778,0.211810478
7/1/2020,7/31/2020,JBS ON ,JBSS3<XBSP>,1.843971631,0.018439716
7/1/2020,7/31/2020,VIA VAREJO ON ,VIIA3<XBSP>,27.49836708,0.274983671
7/1/2020,7/31/2020,BR MALLS PART ON ,BRML3<XBSP>,-1.785714286,-0.017857143
7/1/2020,7/31/2020,COGNA ON ,COGN3<XBSP>,25.26475038,0.252647504
7/1/2020,7/31/2020,HAPVIDA ON ,HAPV3<XBSP>,4.777223741,0.047772237
7/1/2020,7/31/2020,YDUQS PART ON ,YDUQ3<XBSP>,0.713224369,0.007132244
7/1/2020,7/31/2020,ENGIE BRASIL ON ,EGIE3<XBSP>,9.693513899,0.096935139
7/1/2020,7/31/2020,P.ACUCAR - CBD ON ,PCAR3<XBSP>,0.028176951,0.00028177
7/1/2020,7/31/2020,LOCAWEB ON ,LWSA3<XBSP>,10.87962963,0.108796296
7/1/2020,7/31/2020,GRUPO NATURA ON ,NTCO3<XBSP>,17.89473684,0.178947368
7/1/2020,7/31/2020,ENEVA ON ,ENEV3<XBSP>,11.9831036,0.119831036
7/1/2020,7/31/2020,MARFRIG ON ,MRFG3<XBSP>,14.27438541,0.142743854
7/1/2020,7/31/2020,BTGP BANCO UNT ,BPAC11<XBSP>,13.71879254,0.137187925
7/1/2020,7/31/2020,PETRO RIO ON ,PRIO3<XBSP>,11.86775925,0.118677593
7/1/2020,7/31/2020,SIMPAR ON ,SIMH3<XBSP>,24.28817947,0.242881795
7/1/2020,7/31/2020,KLABIN UNT ,KLBN11<XBSP>,1.623216921,0.016232169
7/1/2020,7/31/2020,VIA ON ,VIIA3<XBSP>,27.49836708,0.274983671
7/1/2020,7/31/2020,REDE DOR ON ,RDOR3<XBSP>,,
7/1/2020,7/31/2020,PETROBRAS BR ON ,VBBR3<XBSP>,5.336426914,0.053364269
7/1/2020,7/31/2020,ISHARES S&P 500 CI ,IVVB11<XBSP>,1.078582435,0.010785824
7/1/2020,7/31/2020,VIBRA ON ,VBBR3<XBSP>,5.336426914,0.053364269
7/1/2020,7/31/2020,TELEFÔNICA BRASIL ON ,VIVT3<XBSP>,9.728201939,0.097282019
7/1/2020,7/31/2020,PETZ ON ,PETZ3<XBSP>,,
7/1/2020,7/31/2020,MULTIPLAN ON ,MULT3<XBSP>,3.12195122,0.031219512
7/1/2020,7/31/2020,INTER BANCO UNIT ,BIDI11<XBSP>,47.46642711,0.474664271
7/1/2020,7/31/2020,ASSAÍ ON ,ASAI3<XBSP>,,
date_start,data_end,name,,,
8/1/2020,8/31/2020,ITAÚ UNIBANCO PN ,ITUB4<XBSP>,-12.17964494,-0.121796449
8/1/2020,8/31/2020,PETROBRAS PN ,PETR4<XBSP>,-1.396396396,-0.013963964
8/1/2020,8/31/2020,COPEL PNB ,CPLE6<XBSP>,-6.929798132,-0.069297981
8/1/2020,8/31/2020,OGX PETRÓLEO ON ,OGXP3<XBSP>,,
8/1/2020,8/31/2020,REDECARD ON ,RDCD3<XBSP>,,
8/1/2020,8/31/2020,PÃO DE AÇÚCAR PN ,PCAR4<XBSP>,,
8/1/2020,8/31/2020,GERDAU PN ,GGBR4<XBSP>,9.398280802,0.093982808
8/1/2020,8/31/2020,CETIP ON ,CTIP3<XBSP>,,
8/1/2020,8/31/2020,ENERGIAS DO BRASIL ON ,ENBR3<XBSP>,0.700431034,0.00700431
8/1/2020,8/31/2020,CIELO ON ,CIEL3<XBSP>,-15.08379888,-0.150837989
8/1/2020,8/31/2020,TIM PART. ON ,TIMS3<XBSP>,-9.079365079,-0.090793651
8/1/2020,8/31/2020,VALE PNA ,VALE5<XBSP>,,
8/1/2020,8/31/2020,TELEFÔNICA BR PN ,VIVT4<XBSP>,-9.135802469,-0.091358025
8/1/2020,8/31/2020,LOJAS RENNER ON ,LREN3<XBSP>,5.689277899,0.056892779
8/1/2020,8/31/2020,BANCO DO BRASIL ON ,BBAS3<XBSP>,-1.447532077,-0.014475321
8/1/2020,8/31/2020,MULTIPLUS ON ,MPLU3<XBSP>,,
8/1/2020,8/31/2020,PDG REALTY ON ,PDGR3<XBSP>,-12.06140351,-0.120614035
8/1/2020,8/31/2020,BRF ON ,BRFS3<XBSP>,-5.362318841,-0.053623188
8/1/2020,8/31/2020,DASA ON ,DASA3<XBSP>,,
8/1/2020,8/31/2020,AMBEV PN ,AMBV4<XBSP>,,
8/1/2020,8/31/2020,IOCHPE MAXION ON ,MYPK3<XBSP>,-10.50583658,-0.105058366
8/1/2020,8/31/2020,COSAN ON ,CSAN3<XBSP>,-7.909292035,-0.07909292
8/1/2020,8/31/2020,BM&FBOVESPA ON ,B3SA3<XBSP>,-7.313997478,-0.073139975
